id;robocza_nazwa;krotki_opis;glowny_mechanizm;kategoria;kompetencje;liczba_osob;optymalna_wielkosc_zespolu;czas;materialy;poziom_przygotowania;potencjal_zainteresowania;konkretnosc_efektu;rzeczywista_wspolpraca;grupa_16;grupa_30;ryzyko_chaosu;zwrot_akcji_mozliwy;przykladowy_zwrot_akcji;odpowiedz_po_co;source_type;zrodlo_inspiracji;url;adaptacja_bs_technikum;ryzyka;status;score
A045;Cztery dowody jeden fałszywy;Zespoły dostają pakiet dowodów, z których jeden został spreparowany. Mają wykryć fałszywkę i uzasadnić.;analiza dowodów -> sprzeczność -> werdykt;informacja|dedukcja;krytyczne myślenie|argumentacja|uwaga;16-30;4-5;35 min;karty dowodów;1;5;4;4;TAK;TAK;2;TAK;po 12 min dochodzi nowy dowód potwierdzający fałsz;Macie znaleźć fałszywy dowód, zanim popsuje decyzję.;mystery;S025 Facing History;https://www.facinghistory.org/resource-library/teaching-strategies;Można łączyć z fake news bez polityki;zbyt trudne teksty;STRONG CANDIDATE;18
A046;Fake news triage;Zespoły dostają 5 postów i mają ułożyć ranking wiarygodności z dowodami. Wygrywa najlepsze uzasadnienie.;materiały -> kryteria -> ranking;informacja i fake news;ocena źródeł|argumentacja|decyzje;16-30;4-5;35-45 min;wydruki postów;1;4;4;4;TAK;TAK;2;TAK;po 10 min pojawia się korekta autora;Macie zdecydować, czemu można ufać, zanim podacie dalej.;informacja;S001 Project Zero;https://pz.harvard.edu/thinking-routines;Wybierać neutralne tematy, np. promocje, zdrowe produkty bez medycyny;polaryzacja;Kandydat;16
A047;Aukcja wiarygodności źródeł;Zespoły mają 100 punktów i licytują dostęp do źródeł. Muszą zbudować najlepsza odpowiedź przy ograniczonym budżecie.;budżet informacji -> wybór źródeł -> odpowiedź;informacja|gry;strategia|ocena informacji|współpraca;16-30;4-5;40 min;karty źródeł;2;5;4;4;TAK;TAK;4;TAK;po licytacji jedno źródło traci wiarygodność;Macie kupić tylko te źródła, które naprawdę pomoga wygrać.;informacja;S001 Project Zero;https://pz.harvard.edu/thinking-routines;Dobre jako gra o researchu bez moralizowania;hałas licytacji;STRONG CANDIDATE;16
A048;Nagłówek kontra treść;Zespoły dopasowuja naglowki do prawdziwej treści artykułów i wskazują manipulacje.;dopasowanie -> analiza -> werdykt;informacja|fake news;krytyczne myślenie|czytanie|argumentacja;16-30;4-5;30 min;wydruki naglowkow i leadow;1;4;4;3;TAK;TAK;2;TAK;dodać jeden naglowek-pułapkę;Macie sprawdzić, czy naglowek nie robi was w balona.;informacja;S025 Facing History;https://www.facinghistory.org/resource-library/teaching-strategies;Uzywac neutralnych przykladow, np. technologia, sport;polaryzacja;Kandydat;15
A049;Zdjęcie bez kontekstu;Zespoły dostają zdjęcie i 4 opisy. Muszą wybrać najbardziej prawdopodobny oraz wypisać brakujące dane.;obserwacja -> hipotezy -> weryfikacja;informacja|dedukcja;obserwacja|argumentacja|ostrożność wniosków;16-30;4-5;25-35 min;zdjęcie na ekranie lub wydruk;1;4;3;3;TAK;TAK;2;TAK;po wyborze pokazać kadr szerszy niż pierwotny;Macie nie dać się złapać na pierwsze wrażenie.;thinking routines;S001 Project Zero;https://pz.harvard.edu/thinking-routines;Dodać finalny werdykt, nie sama refleksję;tematy wrażliwe;Kandydat;13
A050;Sąd nad argumentem;Zespoły dostają tezę i karty dowodów. Muszą wybrać 3 najmocniejsze argumenty i 1 słaby do odrzucenia.;teza -> selekcja dowodów -> obrona;argumentacja|informacja;krytyczne myślenie|komunikacja|decyzje;16-30;4-5;35 min;karty argumentów;1;4;3;4;TAK;TAK;2;TAK;po 10 min przeciwnik ujawnia kontrdowód;Macie wygrać sprawę na dowodach, nie na głośności.;edukacja;S025 Facing History;https://www.facinghistory.org/resource-library/teaching-strategies;Brać lekkie tematy szkolne lub zawodowe;debata może się rozgrzać;Kandydat;15
A051;Drzewo decyzji: zamknąć czy naprawić;Zespoły rysują drzewo decyzji dla fikcyjnej awarii lokalu, licząc skutki kosztowe i ryzyka.;problem -> opcje -> konsekwencje -> decyzja;decyzje|planowanie;analiza ryzyka|argumentacja|współpraca;16-30;4-5;35 min;karta scenariusza;0;4;4;3;TAK;TAK;2;TAK;po 10 min pojawia się nowy klient lub kontrola;Macie podjąć decyzję, która ma realne koszty.;metody aktywizujące;S023 CEO KOSS;https://koss.ceo.org.pl/dla-nauczycieli/uczyc-inaczej/artykuly/o-metodach-aktywizujacych-raz-jeszcze;Praktyczne, bez potrzeby wiedzy przedmiotowej;może być zbyt papierowe;Kandydat;16
A052;SWOT kontra czas;Zespoły analizują pomysł na szkolną usługę metoda SWOT, a potem muszą zmienić go po pojawieniu się zagrożenia.;analiza -> korekta projektu -> pitch;projektowanie|decyzje;analiza|kreatywność|argumentacja;16-30;4-5;35-40 min;kartka, tablica;0;4;3;3;TAK;TAK;2;TAK;po 12 min pojawia się konkurent;Macie poprawić pomysł tak, żeby przetrwał problem.;metody aktywizujące;S023 CEO KOSS;https://koss.ceo.org.pl/dla-nauczycieli/uczyc-inaczej/artykuly/o-metodach-aktywizujacych-raz-jeszcze;Dobrze łączyć z biznesem;może zejść w gadanie;Kandydat;14
A053;Red team zabezpieczeń;Zespoły projektują prosty plan zabezpieczenia szkolnego wydarzenia, drugi zespół szuka luk, potem poprawka.;projekt -> atak krytyczny -> poprawa;planowanie|bezpieczeństwo;krytyczne myślenie|komunikacja|adaptacja;16-30;4-5;45 min;kartki;0;5;4;4;TAK;TAK;3;TAK;po krytyce dodać ograniczenie budżetu;Macie zrobić plan, który przejdzie próbę ataku.;design thinking;S002 Stanford d.school;https://dschool.stanford.edu/tools/starter-kit;Silny dla technikum, wymaga jasnych ram;nie przesadzać z tematami przemocy;STRONG CANDIDATE;17
A054;Projekt ławki przyszłości;Zespoły projektują ulepszoną ławkę, narzędzie lub strefę pracy dla konkretnego profilu ucznia, robiąc szkic i pitch.;wyzwanie użytkownika -> szkic -> test pytaniami;projektowanie|kreatywność;empatia|prototypowanie|argumentacja;16-30;4-5;40-45 min;kartki, długopisy;0;4;3;4;TAK;TAK;2;TAK;po 15 min dodać limit ceny 150 zł;Macie zaprojektować rzecz, której ktoś faktycznie chciałby używać.;design thinking;S002 d.school Starter Kit;https://dschool.stanford.edu/tools/starter-kit;Dać konkretny profil i koszt, inaczej zbyt abstrakcyjne;estetyka może zdominować funkcję;Kandydat;16
A055;Crazy 8s produkt do plecaka;Uczniowie generują 8 szybkich szkiców ulepszenia przedmiotu z plecaka, wybierają jeden i dopracowują.;szybka ideacja -> wybór -> prototyp papierowy;projektowanie|kreatywność;pomysłowość|decyzje|pitch;16-30;4-5;30-40 min;kartki;0;4;3;3;TAK;TAK;2;TAK;po szkicach klient zmienia wymaganie;Macie wymyślić ulepszenie, które da się sprzedać lub użyć.;design thinking;S002 Stanford d.school;https://dschool.stanford.edu/tools/starter-kit;Wymagać konkretnego problemu, nie ladnego rysunku;może być za warsztatowe;Kandydat;14
A056;Prototyp z odpadów;Zespoły tworzą model produktu z makulatury i taśm, który rozwiązuje zadany problem. Test to demonstracja funkcji.;problem -> prototyp -> demonstracja;projektowanie|konstruowanie;kreatywność|manualność|współpraca;16-30;4-5;45 min;papier, tektura, taśma;2;5;5;4;TAK;TAK;3;TAK;po 20 min zmienić użytkownika produktu;Macie zbudować model, który pokazuje działanie pomysłu.;design thinking;S002 d.school;https://dschool.stanford.edu/tools/starter-kit;Pasuje do praktycznego profilu klas;bałagan;STRONG CANDIDATE;19
A057;Reklama produktu bezużytecznego;Zespoły losują dziwny produkt i tworzą 30-sekundową reklamę z konkretnym klientem i korzyścią.;losowy produkt -> target -> pitch;kreatywność|przedsiębiorczość;komunikacja|argumentacja|humor kontrolowany;16-30;4-5;30-35 min;karty produktów;1;4;3;4;TAK;TAK;3;TAK;po 10 min zmienić grupe klientów;Macie sprzedać coś trudnego tak, żeby mialo sens.;design thinking;S002 Stanford d.school;https://dschool.stanford.edu/tools/starter-kit;Nie robić wystepow osobistych, tylko produkt;zawstydzenie przy prezentacji;Kandydat;14
A058;Klient zmienia zdanie;Zespoły projektują rozwiązanie dla klienta, po 10 minutach dostają nowe wymaganie i muszą poprawić projekt.;brief -> prototyp -> zmiana -> wersja 2;projektowanie|adaptacja;kreatywność|komunikacja|planowanie;16-30;4-5;40 min;karty briefu;1;5;4;4;TAK;TAK;2;TAK;klient chce taniej, szybciej albo dla innej grupy;Macie pokazać, czy wasz projekt wytrzyma zmianę wymagań.;design thinking;S002 d.school Starter Kit;https://dschool.stanford.edu/tools/starter-kit;Bardzo bliskie realnej pracy;może frustrowac bez limitu;STRONG CANDIDATE;18
A059;Mapa drogi klienta;Zespoły układają 8 kroków usługi, wskazują 2 momenty frustracji i proponują konkretną poprawkę.;proces -> diagnoza -> poprawka;projektowanie|życie codzienne;analiza procesu|empatia|decyzje;16-30;4-5;35 min;karty kroków;1;4;3;3;TAK;TAK;2;TAK;po 10 min klient ma ograniczenie, np. brak aplikacji;Macie naprawić usługę tak, żeby klient nie odpadł.;design thinking;S002 Stanford d.school;https://dschool.stanford.edu/tools/starter-kit;Dobierać proste usługi, np. zamówienie jedzenia;może być zbyt abstrakcyjne;Kandydat;14
A060;Najgorszy pomysł, potem naprawa;Zespoły wymyślają najgorsze rozwiązania problemu, a potem zamieniają 2 z nich w działające usprawnienia.;odwrotna burza mozgow -> selekcja -> projekt;kreatywność|problem solving;twórczość|analiza|współpraca;16-30;4-5;30-35 min;kartki;0;4;3;3;TAK;TAK;2;TAK;po pierwszej rundzie zakaz najłatwiejszej naprawy;Macie przerobić absurd w realne rozwiązanie.;metody aktywizujące;S023 CEO KOSS;https://koss.ceo.org.pl/dla-nauczycieli/uczyc-inaczej/artykuly/o-metodach-aktywizujacych-raz-jeszcze;Trzymać konkret i finalna poprawkę;może pójść w wygłupy;Kandydat;14
A061;Kontrakt dostawcy;Zespoły w rolach klient-dostawca negocjują cenę, termin i jakość. Wynik to podpisana umowa z punktacją interesów.;role z interesami -> negocjacje -> umowa;negocjacje|życie zawodowe;komunikacja|liczenie|kompromis;16-30;4-5;35-45 min;karty ról;2;5;4;5;TAK;TAK;3;TAK;po 10 min klient dostaje nowy limit budżetu;Macie podpisać umowe, na której wasza strona nie przegra.;negocjacje;S016 Conflict Resolution;https://teach.conflictresolution.gmu.edu/category/teaching-resources/case-studies-simulations/;Dobre dla zawodowych realiów;konflikt personalny;STRONG CANDIDATE;18
A062;Podział warsztatu;Zespoły reprezentują różne ekipy, które potrzebują tej samej sali lub sprzętu. Muszą ustalić grafik.;konflikt zasobu -> negocjacje -> harmonogram;negocjacje|planowanie;kompromis|argumentacja|organizacja;16-30;4-5;35 min;karty potrzeb;1;4;4;5;TAK;TAK;3;TAK;po 10 min jedną ekipa dostaje pilne zlecenie;Macie dogadać grafik, bo każdy czegoś potrzebuje.;negocjacje;S015 Assessment leaderless task;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Bardzo szkolno-zawodowe;spory między rolami;STRONG CANDIDATE;17
A063;Budżet wycieczki kontra rzeczywistość;Zespoły planują jednodniowy wyjazd za określoną kwotę. Potem rosną koszty transportu.;budżet -> plan -> korekta;planowanie|pieniądze;liczenie|decyzje|negocjacje;16-30;4-5;40 min;karta kosztów;1;5;4;4;TAK;TAK;2;TAK;transport drożeje o 25 procent;Macie zrobić plan, który zmieści się w budżecie.;finanse;S009 CFPB;https://www.consumerfinance.gov/consumer-tools/educator-tools/youth-financial-education/teach/activities/;Użyć fikcyjnego miasta, konkretne ceny;spory o atrakcje;STRONG CANDIDATE;18
A064;Umowa wspólnego lokalu;Zespoły negocjują zasady wspólnego wynajmu lokalu przez trzy firmy: koszty, godziny, sprzątanie, ryzyka.;role -> interesy -> umowa;negocjacje|życie zawodowe;komunikacja|kompromis|planowanie;16-30;4-6;40-45 min;karty ról;2;4;4;5;TAK;TAK;3;TAK;po 15 min jeden partner traci część budżetu;Macie podpisać umowe, z która wszyscy mogą żyć.;negocjacje;S016 Conflict simulations;https://teach.conflictresolution.gmu.edu/category/teaching-resources/case-studies-simulations/;Dobrze dla starszych klas;może wymagać moderacji;Kandydat;16
A065;Dealerzy informacji;Zespoły mają tajne informacje o rynku i mogą nimi handlować, aby wybrać najlepszą inwestycję zespołową.;asymetria informacji -> handel -> decyzja;negocjacje|informacja|pieniądze;strategia|komunikacja|analiza;16-30;4-5;40 min;karty informacji;2;5;4;5;TAK;TAK;4;TAK;po handlu jedna informacja traci ważność;Macie zdobyć informacje, które pozwolą podjąć najlepszą decyzję.;information gap;S011 Information Gap;https://americanenglish.state.gov/resources/teachers-corner-speaking-information-gap-activities;Silne, ale wymaga czytelnych kart;chaos transakcyjny;STRONG CANDIDATE;16
A066;Dylemat wspólnej punktacji;Zespoły decydują, czy grać egoistycznie czy współpracować w kilku rundach punktowych. Wynik ujawnia się na koniec.;rundy decyzji -> punkty -> analiza strategii;gry|decyzje;strategia|negocjacje|przewidywanie;16-30;4-5;25-35 min;tabela punktów;0;5;4;3;TAK;TAK;3;TAK;po 3 rundach zmienić mnożnik punktów współpracy;Macie zdobyć punkty, ale nie wiecie, czy inni wam zaufają.;gry decyzyjne;S018 CASEL collaborative problem solving;https://schoolguide.casel.org/focus-area-3/classroom/integration-of-sel-and-instruction/;Nie moralizować, pokazać strategie;oskarzenia po zdradzie;Kandydat;16
A067;Negocjacje ostatniego zasobu;Kilka zespołów potrzebuje tego samego zasobu do różnych misji. Muszą przekonać komisję albo zawrzeć wymianę.;konflikt interesów -> argumenty -> decyzja;negocjacje|decyzje;perswazja|priorytety|komunikacja;16-30;4-5;35 min;karty misji;1;4;4;4;TAK;TAK;3;TAK;po 10 min zasób można podzielić, ale traci skuteczność;Macie udowodnić, że to wam zasób da największy efekt.;assessment;S015 Assessment group exercises;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Dobre z rolami zawodowymi;konflikt;Kandydat;16
A068;Konsensus bez głosowania;Zespół musi wybrać jedno rozwiązanie z 5 opcji, ale decyzja liczy się tylko przy zgodzie wszystkich.;opcje -> argumenty -> konsensus;współpraca|decyzje;słuchanie|argumentacja|kompromis;16-30;4-5;25-35 min;karty opcji;0;3;3;4;TAK;TAK;2;TAK;po 10 min jedna opcja znika;Macie znaleźć decyzję, która przejdzie przez cały zespół.;cooperative learning;S006 NASA consensus;https://www.psychologicalscience.org/observer/nasa-exercise;Dodać konkretny scenariusz i wynik;może się przeciągać;Kandydat;14
A069;Blind drawing: plan instalacji;Jedną osoba opisuje schemat, druga rysuje bez widzenia wzoru. Zespół porównuje z oryginałem i poprawia instrukcję.;bariera widzenia -> instrukcję -> porównanie;komunikacja|information gap;precyzja|słuchanie|współpraca;16-30;4;20-30 min;rysunek wzoru, kartki;1;4;5;4;TAK;TAK;3;TAK;druga runda z zakazem użycia slow kierunkowych;Macie odtworzyć schemat tylko z instrukcji.;team building;S014 SessionLab Blind Drawing;https://www.sessionlab.com/methods/blind-drawing;Użyć schematów technicznych, nie obrazkow dzieciecych;śmiech z rysunków;Kandydat;17
A070;Blind build: konstrukcja wzorcowa;Jedną osoba buduje, reszta widzi wzór i może tylko mówić. Wynik to podobieństwo do wzoru i czas.;bariera widzenia -> instrukcję -> konstrukcja;komunikacja|konstruowanie;precyzja|rola|współpraca;16-30;4-5;25-35 min;klocki, kubki lub papier;2;5;5;5;TAK;TAK;3;TAK;po 5 min zmienić budowniczego;Macie zbudować kopie, ale budowniczy nie widzi celu.;team building;S013 Naboo Blind Build;https://www.naboo.app/en-us/blog/blind-build-challenge;Bardzo mocna rzeczywista współpraca;zawstydzenie osoby budujacej;STRONG CANDIDATE;20
A071;Radiooperator;Tylko jedną osoba może patrzeć na mapę, druga na listę celów, trzecia zapisuje trasę. Nie wolno pokazywać kartek.;role informacyjne -> komunikacja -> plan;information gap|planowanie;precyzja|współpraca|logika;16-30;4-5;30-40 min;karty mapy i celów;1;5;4;5;TAK;TAK;3;TAK;po 10 min nadajnik działa tylko przez 30 sekund na rundę;Macie ustalić trasę, ale każdy widzi tylko część danych.;information gap;S011 American English;https://americanenglish.state.gov/resources/teachers-corner-speaking-information-gap-activities;Dobre przy klasach gadatliwych, bo struktura wymusza role;frustracja;STRONG CANDIDATE;18
A072;Split blueprint;Każdy członek zespołu ma fragment instrukcji budowy. Bez łączenia kartek muszą stworzyć jeden model.;rozdzielone instrukcję -> integracja -> budowa;konstruowanie|information gap;współpraca|komunikacja|planowanie;16-30;4-5;35-45 min;karty instrukcji, papier;2;5;5;5;TAK;TAK;3;TAK;jedną instrukcja jest niepełna, trzeba uzgodnic obejście;Macie zbudować model, ale instrukcja jest podzielona między was.;information gap;S011 Information Gap;https://americanenglish.state.gov/resources/teachers-corner-speaking-information-gap-activities;Bardzo mocne dla realnej współpracy;trudność przygotowania kart;STRONG CANDIDATE;19
A073;Kontrola jakości;Zespoły dostają listę wad produktu i próbki opisane kartami. Muszą wykryć wadliwe partie i uzasadnić decyzję.;kryteria -> kontrola -> raport;życie zawodowe|dedukcja;dokładność|analiza|współpraca;16-30;4-5;35 min;karty produktów i wad;1;5;4;4;TAK;TAK;2;TAK;po 10 min klient zmienia próg akceptacji;Macie wybrać partie, które nie mogą iść do klienta.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Bardzo dobre dla branżowej szkoły;wymaga czytelnych kryteriów;STRONG CANDIDATE;18
A074;Linia montażowa z papieru;Zespoły projektują sposób masowej produkcji identycznych mini-kopert lub pudełek, mierzy się liczbę i jakość.;proces -> role -> produkcja -> kontrola;planowanie|konstruowanie;organizacja|współpraca|optymalizacja;16-30;4-6;45 min;papier, taśma, wzór;1;5;5;5;TAK;TAK;4;TAK;po pierwszej rundzie zmienić kryterium jakości;Macie ustawić produkcję tak, by wynik był szybki i równy.;assessment;S015 Build challenge;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Świetne dla klas zawodowych;hałas, bałagan;STRONG CANDIDATE;19
A075;Operatorzy awarii;Każdy uczeń w zespole ma role: dyspozytor, technik, magazyn, klient. Muszą naprawić awarię w limicie zasobów.;role -> wymiana informacji -> decyzja;współpraca|życie zawodowe;komunikacja|planowanie|decyzje;16-30;4-5;40 min;karty ról i zasobów;2;5;4;5;TAK;TAK;3;TAK;klient zmienia priorytet w połowie;Macie usunąć awarię, ale każdy ma inny fragment odpowiedzialności.;assessment;S015 Assessment leaderless task;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Bardzo trafne dla technikum;zbyt wiele kart może mylić;STRONG CANDIDATE;18
A076;Sprint kanban;Zespoły dostają 12 zadań, ograniczoną liczbę osób i 15 minut na plan wykonania. Wynik to tablica z priorytetami i zależnościami.;zadania -> priorytety -> tablica;planowanie|życie zawodowe;organizacja|decyzje|współpraca;16-30;4-5;30-35 min;karteczki lub kartki;0;4;4;4;TAK;TAK;2;TAK;po 10 min jedno zadanie staje się pilne;Macie ułożyć pracę tak, żeby zespół się nie rozsypał.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Pokazać jako narzędzie pracy, nie teoria;może być suche;Kandydat;17
A077;Planowanie pokerem;Zespoły szacują trudność i czas zadań kartami 1-5, uzgadniają rozbieżności i tworzą plan dnia.;indywidualne szacunki -> ujawnienie -> konsensus;planowanie|współpraca;argumentacja|organizacja|słuchanie;16-30;4-5;25-35 min;karty 1-5;1;3;3;4;TAK;TAK;2;TAK;po uzgodnieniu dzien skraca się o godzine;Macie oszacować robotę tak, żeby plan był wykonalny.;assessment;S015 Group exercises;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Dobre dla starszych i technicznych klas;może wydawac się biurowe;Kandydat;13
A078;Misja: naprawić szkolny automat;Zespoły dostają skargi klientów o automacie i muszą wskazać 3 najważniejsze poprawki oraz plan testu.;dane klientów -> priorytety -> plan testu;projektowanie|życie codzienne;analiza|decyzje|empatia;16-30;4-5;35 min;karty skarg;1;4;4;4;TAK;TAK;2;TAK;po 10 min budżet spada o połowę;Macie wybrać poprawki, które najwięcej zmienią dla użytkownika.;design thinking;S002 d.school;https://dschool.stanford.edu/tools/starter-kit;Blisko codzienności, konkretny plan;może zejść w narzekanie;Kandydat;17
A079;Naprawa procesu zamówień;Zespoły układają przepływ zamówienia, znajdują wąskie gardło i proponują jedną mierzalną poprawę.;proces -> diagnoza -> poprawa;planowanie|optymalizacja;analiza procesu|logika|współpraca;16-30;4-5;35 min;karty kroków procesu;1;4;4;4;TAK;TAK;2;TAK;po 10 min liczba zamówień podwaja się;Macie znaleźć miejsce, gdzie system się zacina.;assessment;S015 Case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Dobre dla klas logistycznych, usługowych;wymaga dobrego scenariusza;Kandydat;17
A080;Najkrótsza instrukcja;Zespoły piszą instrukcję złożenia prostego modelu, potem inny zespół testuje ją bez pomocy autora.;instrukcja -> test obcy -> poprawa;komunikacja|konstruowanie;precyzja|pisanie użytkowe|testowanie;16-30;4-5;45 min;papier, wzór modelu;1;4;5;4;TAK;TAK;3;TAK;tester ma tylko 5 minut;Macie napisać instrukcję, którą ktoś naprawdę wykona.;communication;S013 Blind Build;https://www.naboo.app/en-us/blog/blind-build-challenge;Bardzo praktyczne dla zawodów technicznych;śmiech z błędów;STRONG CANDIDATE;17
A081;Puzzle produkcyjne;Zespoły dostają pomieszane kroki procesu i muszą ułożyć prawidłową kolejność, wskazać ryzyka oraz punkty kontroli.;karty procesu -> sekwencja -> kontrola;planowanie|życie zawodowe;logika|organizacja|współpraca;16-30;4-5;30 min;karty kroków;1;4;4;3;TAK;TAK;2;TAK;po ułożeniu dodać awarię jednego kroku;Macie ułożyć proces tak, by produkt wyszedł poprawnie.;assessment;S015 Assessment;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Można dopasować do zawodu klasy;jedną osoba może ułożyć sama;Kandydat;15
A082;Cichy ranking;Zespoły muszą ułożyć ranking 10 rzeczy bez mówienia przez pierwsze 5 minut, używając tylko kartek i gestów.;ograniczenie komunikacji -> ranking -> obrona;komunikacja|decyzje;współpraca|priorytety|adaptacja;16-30;4-5;25-35 min;karty rzeczy;0;4;3;4;TAK;TAK;2;TAK;po ciszy trzeba uzasadnić tylko jedną decyzję;Macie dogadać ranking bez gadania, a potem go obronić.;team building;S018 CASEL;https://schoolguide.casel.org/focus-area-3/classroom/integration-of-sel-and-instruction/;Nie robić jako zabawy, tylko symulacje awarii łączności;może być śmieszne;Kandydat;14
A083;Konstrukcja bez lidera;Zespoły budują zadany model, ale co 3 minuty zmienia się osoba, która może dotykać materiałów.;rotacja ról -> budowa -> test;współpraca|konstruowanie;rola|komunikacja|adaptacja;16-30;4-5;35 min;papier, taśma;2;5;5;5;TAK;TAK;4;TAK;ostatnia runda bez mówienia;Macie zbudować coś razem, bo jedna osoba nie zdąży zrobić wszystkiego.;cooperative;S017 Cooperative learning;https://www.prometheanworld.com/resource-center/blogs/cooperative-learning-strategies-in-the-classroom-a-practical-guide/;Wymusza udzial wszystkich;chaos przy zmianach;STRONG CANDIDATE;18
A084;Jigsaw ekspertów;Każdy uczeń uczy się fragmentu instrukcji, potem eksperci wracają do zespołów i razem rozwiązują zadanie.;eksperci -> powrót -> wspólny wynik;cooperative learning|information gap;odpowiedzialność|komunikacja|współpraca;16-30;4-5;40-45 min;karty ekspertów;1;3;4;5;TAK;TAK;3;TAK;po powrocie jeden ekspert nie może pokazać karty;Macie złożyć rozwiązanie z wiedzy, która jest rozdzielona.;cooperative learning;S017 Promethean;https://www.prometheanworld.com/resource-center/blogs/cooperative-learning-strategies-in-the-classroom-a-practical-guide/;Dobre, gdy materiał jest bardzo konkretny;ryzyko, że ekspert nie zrozumie;Kandydat;15
A085;Numbered heads rescue;Zespół rozwiązuje misje, ale nauczyciel losuje numer osoby, która odpowiada za prezentację wybranego elementu.;wspólna praca -> losowa odpowiedzialność -> wynik;cooperative learning|współpraca;odpowiedzialność|komunikacja|współpraca;16-30;4;25-35 min;numery, karta zadania;0;3;3;4;TAK;TAK;2;TAK;losowana osoba musi wyjaśnić zwrot akcji;Macie ogarnąć zadanie tak, żeby każdy umiał je obronić.;cooperative learning;S017 Promethean;https://www.prometheanworld.com/resource-center/blogs/cooperative-learning-strategies-in-the-classroom-a-practical-guide/;Dodać konkretną misje, nie tylko pytania;stres u wylosowanych;Kandydat;14
A086;Graffiti rozwiązań;Zespoły przechodzą po stacjach z problemami i dopisują rozwiązania, potem wybierają najlepsze i tworzą finalny plan.;rotacja stacji -> selekcja -> plan;współpraca|kreatywność;generowanie pomysłów|ocena|planowanie;16-30;4-5;35-45 min;arkusze na stolach;1;4;3;3;TAK;TAK;3;TAK;po rotacji zmienić kryterium wyboru;Macie zebrać najlepsze rozwiązania i zrobić z nich jeden plan.;cooperative learning;S017 Promethean;https://www.prometheanworld.com/resource-center/blogs/cooperative-learning-strategies-in-the-classroom-a-practical-guide/;Użyć konkretnych problemów, np. organizacja wydarzenia;może być za warsztatowe;Kandydat;13
A087;Speed dating problemów technicznych;Pary wymieniają się mini-problemami projektowymi, po kilku rundach zespół wybiera najlepsze rozwiązanie i je dopracowuje.;rotacja par -> pomysły -> wybór;problem solving|komunikacja;kreatywność|słuchanie|argumentacja;16-30;2 potem 4;35-45 min;karty problemów;1;4;3;3;TAK;WARUNKOWO;3;TAK;po 3 rundach jedno rozwiązanie musi być bezkosztowe;Macie zebrać pomysły od wielu osób i wybrać najlepszy.;edukacja;S019 Edutopia Speed Dating;https://www.edutopia.org/video/building-problem-solving-skills-high-school-speed-dating/;Użyć problemów fikcyjnych, nie osobistych;ruch i hałas;Kandydat;12
A088;Debata ofert z karta wyniku;Zespoły przygotowują ofertę rozwiązania problemu, a klasa głosuje według jawnych kryteriów: koszt, skuteczność, ryzyko.;projekt -> prezentacja -> ocena kryteriami;argumentacja|projektowanie;perswazja|analiza|komunikacja;16-30;4-5;40-45 min;karta kryteriów;1;4;3;4;TAK;TAK;3;TAK;po przygotowaniu zmienić wage jednego kryterium;Macie przekonać innych, że wasze rozwiązanie ma najlepszy bilans.;metody aktywizujące;S023 CEO KOSS;https://koss.ceo.org.pl/dla-nauczycieli/uczyc-inaczej/artykuly/o-metodach-aktywizujacych-raz-jeszcze;Wymagać kryteriów, nie konkursu popularności;zawstydzenie przy prezentacji;Kandydat;14
A089;Turniej mini-case'ów;Zespoły dostają 5 krótkich sytuacji decyzyjnych i muszą w każdej wskazać najlepsze działanie w 3 minuty.;case -> szybka decyzja -> punkty;decyzje|gry;szybkie myślenie|argumentacja|współpraca;16-30;4-5;30-40 min;karty sytuacji;1;5;3;4;TAK;TAK;3;TAK;ostatnia runda podwójnie punktowana z nowym ograniczeniem;Macie podejmować decyzje szybko i z sensem.;assessment;S015 Assessment case study;https://targetjobs.co.uk/careers-advice/interviews-and-assessment-centres/group-exercises-what-expect;Dobre na zastępstwo, łatwe do prowadzenia;powierzchowność decyzji;Kandydat;15
A090;Najtansza solidna konstrukcja;Zespoły kupują materiały z cennika, budują konstrukcję i są punktowane za udźwig minus koszt.;cennik -> zakupy -> konstrukcja -> wynik;konstruowanie|pieniądze;optymalizacja|liczenie|współpraca;16-30;4-5;45 min;papier, taśma, cennik;2;5;5;4;TAK;TAK;3;TAK;po zakupach taśma drożeje dla dokupujących;Macie zbudować mocno, ale nie przepalić budżetu.;STEM;S005 TeachEngineering;https://www.teachengineering.org/activities/view/ced-2670-newspaper-towers-engineering-design-activity;Bardzo mocne przez koszt i test;spory o zakupy;STRONG CANDIDATE;19
