id;aktywnosc;obecny_status;fala;rodzina;tryb_naprawy;pakiet_do_przygotowania;blokada_z_audytu;najblizsza_akcja
A087;Speed dating problemów technicznych;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;projektowanie i twórcze rozwiązywanie problemów;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;Brakuje mini-problemów technicznych i kryteriów wyboru rozwiązania.;"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A088;Debata ofert z karta wyniku;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;projektowanie i twórcze rozwiązywanie problemów;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;Brakuje problemu, kryteriów i danych do oferty.;"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A089;Turniej mini-case'ów;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;turnieje mini-case’ów;opracować pakiet;5 krótkich case’ów + odpowiedzi punktowane + tabela wyników;Brakuje pięciu mini-case’ów i klucza punktacji.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A091;Przetarg na projekt;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;finanse i decyzje codzienne;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;"Brakuje briefu, kryteriów klienta i kosztorysu; nauczyciel musi wymyślić cały case.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A092;Mapa interesariuszy;SZKIELET;FALA S1 - przepisać szkielet na konkretny case;planowanie, procesy i logistyka;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;"Brakuje konkretnej zmiany szkolnej i interesariuszy; grozi narzekaniem.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A093;Szkoła jako escape map;SZKIELET;FALA S2 - decyzja: przepisać albo odrzucić;dedukcja, śledztwa i escape room;przepisać szkielet;najpierw karta konkretnego case’u + dopiero potem materiały uczniowskie;"To zadanie projektowe bez pakietu startowego; uczniowie muszą wymyślić zagadki od zera.";"Ustalić konkretny temat/case, napisać problem startowy i dopiero potem przygotować materiały; jeśli nie da się tego zrobić w 45 minut, odrzucić albo połączyć z inną aktywnością."
A094;Projekt plakatu ostrzegawczego;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje konkretnego ryzyka/oszustwa i kryteriów testu 5 sekund.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A095;Wiadomość kryzysowa 160 znaków;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje karty awarii i danych firmy/klientów.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A096;Kryzys w social media;PAKIET;FALA 1 - najpierw opracować do pełnych kart;informacja, argumentacja i komunikaty;opracować pakiet;neutralne materiały wejściowe + kryteria oceny + przykład dobrej odpowiedzi;Brakuje kart komentarzy, faktów awarii i bezpiecznych zasad tonu.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A097;Turniej decyzji klienta;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje profilu klienta, ofert i ukrytych kosztów.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A098;Ranking narzędzi do misji;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;planowanie, procesy i logistyka;opracować pakiet;mapa/proces/scenariusz + ograniczenia + kryteria priorytetu + rozwiązanie przykładowe;Brakuje konkretnego zadania zawodowego i listy narzędzi.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A099;Napraw projekt po teście;PAKIET;FALA 3 - uzupełnić lub połączyć z innymi;projektowanie i twórcze rozwiązywanie problemów;opracować pakiet;konkretny brief użytkownika + ograniczenia + test rozwiązania + rubryka oceny;Brakuje słabego projektu, wyników testu i budżetu poprawek.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
A100;Final boss: misja 5000 zł;PAKIET;FALA 1 - najpierw opracować do pełnych kart;finanse i decyzje codzienne;opracować pakiet;profil osoby/klienta + cennik/oferty + karta obliczeń + klucz;Brakuje kart zasobów, cennika, celu wydarzenia i kryteriów oceny.;Przygotować brakujący pakiet materiałów wskazany w audycie, dopisać instrukcję dla uczniów, punktację, kryterium sukcesu i przykład/klucz odpowiedzi.
